City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,pacific grove,36.6177,-121.9166,24.8,74,16,2.24,US,1690595779
310,pisco,-13.7,-76.2167,19.03,82,100,6.17,PE,1690595779
311,fale old settlement,-9.3852,-171.2468,28.71,73,82,7.95,TK,1690595779
312,treasure island,27.7692,-82.769,28.47,62,34,1.25,US,1690595780
313,ciudad lazaro cardenas,17.9583,-102.2,28.21,78,11,2.17,MX,1690595780
314,pestravka,52.405,49.9583,25.14,46,100,3.6,RU,1690595780
315,vokhtoga,58.8147,41.0461,15.87,99,100,1.74,RU,1690595780
316,arroyo,41.6096,-4.7969,22.0,82,0,2.57,ES,1690595781
317,levuka,50.1834,-105.4011,18.9,46,41,3.64,CA,1690595781
318,ola,59.5833,151.2833,18.97,65,91,2.93,RU,1690595782
319,geraldton,-28.7667,114.6,16.23,77,40,3.6,AU,1690595783
320,vilyuchinsk,52.9306,158.4028,21.15,82,65,2.73,RU,1690595784
321,mount pearl,47.5166,-52.7813,17.19,77,100,0.0,CA,1690595784
322,naze,28.3667,129.4833,28.51,82,100,6.41,JP,1690595774
323,kushikino,31.7167,130.2667,30.7,58,56,4.26,JP,1690595598
324,medina,24.4686,39.6142,33.24,9,0,2.57,SA,1690595785
325,la libertad,-2.2333,-80.9,22.81,82,98,4.45,EC,1690595785
326,turpan,42.9333,89.1667,36.54,20,100,3.04,CN,1690595785
327,cleburne,32.3476,-97.3867,35.03,42,0,3.6,US,1690595786
328,marathon,44.9,-89.7668,20.86,94,75,6.69,US,1690595786
329,arawa,-6.2132,155.5367,28.94,81,82,0.54,PG,1690595786
330,las lomitas,-24.7096,-60.593,14.11,65,0,1.71,AR,1690595786
331,pingdingshan,33.7385,113.3012,25.71,91,100,3.8,CN,1690595787
332,invercargill,-46.4,168.35,13.34,69,99,3.58,NZ,1690595787
333,amga,60.8953,131.9608,23.85,31,0,2.23,RU,1690595788
334,nuuk,64.1835,-51.7216,8.13,83,100,4.42,GL,1690595656
335,kajiado,-1.8524,36.7768,11.7,95,84,2.13,KE,1690595788
336,nueva gerona,21.8833,-82.8,28.89,74,85,3.05,CU,1690595788
337,malmyzh,56.5205,50.6818,19.87,87,100,5.15,RU,1690595789
338,la roca del valles,41.5833,2.3333,24.44,85,9,1.34,ES,1690595789
339,mancio lima,-7.6142,-72.8958,25.01,60,70,0.71,BR,1690595789
340,tongchuan,35.0806,109.0897,24.26,75,99,2.09,CN,1690595790
341,frontera,26.9333,-101.45,33.27,30,43,3.58,MX,1690595790
342,alofi,-19.0595,-169.9187,22.94,88,100,3.6,NU,1690595790
343,mauganj,24.6833,81.8833,31.39,60,61,3.89,IN,1690595505
344,nar'yan-mar,67.6713,53.087,14.3,81,21,1.43,RU,1690595791
345,xicotencatl,23.0167,-98.8833,26.55,69,71,2.38,MX,1690595791
346,chos malal,-37.3781,-70.2709,12.31,42,100,3.33,AR,1690595792
347,shadrinsk,56.0852,63.6335,18.03,81,58,5.2,RU,1690595792
348,chicoana,-25.1009,-65.5331,11.03,60,0,1.35,AR,1690595793
349,rebrikha,53.0733,82.3408,20.71,65,72,4.02,RU,1690595793
350,nehe,48.4833,124.8333,24.84,69,79,1.85,CN,1690595793
351,ejura,7.3856,-1.3562,21.95,97,92,2.35,GH,1690595793
352,zhezqazghan,47.7833,67.7667,24.32,31,0,1.0,KZ,1690595793
353,las trojes,14.0667,-85.9833,20.05,100,100,1.69,HN,1690595794
354,kone,-21.0595,164.8658,23.13,46,92,3.48,NC,1690595794
355,naryshkino,52.9678,35.7268,14.38,91,100,4.28,RU,1690595794
356,nizhneudinsk,54.9076,99.0276,21.89,65,66,3.37,RU,1690595795
357,remire-montjoly,4.9167,-52.2667,26.02,83,0,1.03,GF,1690595795
358,ust'-ilimsk,58.0006,102.6619,24.52,57,20,1.67,RU,1690595796
359,qarauyl,48.9451,79.255,22.49,40,4,2.64,KZ,1690595796
360,fort st. john,56.2499,-120.8529,21.94,37,75,5.14,CA,1690595796
361,ikalamavony,-21.15,46.5833,11.08,90,9,2.33,MG,1690595797
362,saint-philippe,-21.3585,55.7679,17.77,69,34,3.17,RE,1690595797
363,westport,41.1415,-73.3579,27.79,84,0,1.34,US,1690595797
